Model,Variable,Coefficient,Std_Error,T_Stat,P_Value,N
TWFE_KAF,log_credit_kaf,0.003066628161412779,0.03651563768149826,0.08398122985447898,0.9333255676633561,88
TWFE_ACC,log_credit_acc,-0.04734961144140768,0.04837865218393499,-0.9787294458180663,0.3312876861447194,88
TWFE_FUND,log_credit_fund,-0.007316176303348331,0.06465280556772404,-0.1131610026680839,0.9102464168025839,88
