Model,Variable,Coefficient,Std_Error,T_Stat,P_Value
Pooled OLS,log_credit_total,0.7250074867922488,0.0901057520486834,8.046184292435994,8.541533836408419e-16
Pooled OLS,land_share,0.05663812651684338,0.0340801199573807,1.661911008167602,0.09653061915814491
Pooled OLS,Constant,1.7142648374389082,0.6916489401373409,2.4785187079134485,0.013192919236274853
TWFE,log_credit_total,0.04434440963143444,0.08337810014907393,0.5318472063065708,0.595806955192818
TWFE,land_share,0.018109897956204678,0.028854581985684562,0.627626418750042,0.5314313605809822
TWFE,Constant,,,,
