region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2016,10487,290.3,912.7,1825.4,3028.4,5.48,9.257987025443535,8.016119859092925
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2017,11669,100.8,945.0,1746.0,2791.8,1.96,9.364776725280601,7.934799955790826
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2018,11979,1830.6,14405.3,2811.0,19046.9,2.08,9.39099387166944,9.854712138257916
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2019,18458,2223.0,4078.0,2379.1,8680.1,2.08,9.8233073354086,9.068903527735666
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2020,12583,2423.2,527.0,1904.5,4854.7,3.12,9.440181444738114,8.487908551588744
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2021,12470,835.0,5987.0,2301.0,9123.0,3.16,9.431161227920747,9.118663583404278
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2022,7889,310.0,4942.3,,5252.3,2.48,8.97335141383992,8.566611729545965
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2023,8692,645.0,3534.0,,4179.0,2.1,9.070273383079064,8.338066525518801
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2024,8548,636.0,2800.0,,3436.0,5.38,9.053569596026234,8.142354276849833
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2015,393,44.9,110.8,655.6,811.3,1.82,5.976350909297934,6.699869730056908
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2016,428,175.0,291.3,855.6,1321.9,1.78,6.061456918928017,7.187581575468334
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2017,475,24.0,1600.9,602.0,2226.9,1.51,6.16541785423142,7.708814716736478
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2018,562,28.1,172.7,644.5,845.3,1.76,6.333279628139691,6.74087390667606
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2019,780,122.0,348.6,1146.6,1617.2,2.36,6.660575149839686,7.389069699373739
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2020,751,37.2,455.4,1146.9,1639.5,0.81,6.62273632394984,7.402756352401156
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2021,811,33.0,636.0,792.0,1461.0,0.81,6.699500340161678,7.287560640309724
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2022,941,41.0,1154.2,,1195.2,0.77,6.848005274576363,7.086905144610457
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2023,1132,106.0,1689.0,,1795.0,0.77,7.032624261028007,7.493317248862144
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2024,1126,150.0,934.0,,1084.0,0.76,7.027314514039776,6.989335265974559
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2015,3036,171.4,955.9,584.8,1712.1,5.18,8.018625465045748,7.446059873736412
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2016,2968,233.9,406.7,1955.3,2595.9,4.88,7.995980474763759,7.862073704952949
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2017,2816,353.3,,719.0,1072.3,4.88,7.943427767876372,6.978493293487478
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2018,3242,365.1,1188.8,1259.8,2813.7,4.93,8.084254106307318,7.942610962958542
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2019,4792,1183.0,,1101.5,2284.5,4.98,8.474911799159631,7.734340097771799
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2020,3859,570.3,1834.3,1328.6,3733.2,3.71,8.258422462458876,8.225288884531235
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2021,4347,836.0,1201.0,2119.0,4156.0,3.31,8.3774712482411,8.332548939252638
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2022,2292,382.0,1437.3,,1819.3,3.26,7.737616282857904,7.506756601651853
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2023,2535,1309.0,2215.0,,3524.0,0.51,7.838343315557116,8.16763571524637
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2024,2550,1201.0,3560.0,,4761.0,3.38,7.844240718141811,8.468423027046807
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2015,3260,298.7,174.8,453.0,926.5,1.61,8.089789175789319,6.83249279448159
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2016,3368,576.3,819.6,1116.3,2512.2,0.73,8.122371243406553,7.829312120528791
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2017,3604,14.9,256.0,1989.0,2259.9,1.19,8.190077049719049,7.72351824308227
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2018,3830,144.0,616.6,1620.5,2381.1,1.19,8.25088114470065,7.775737730562173
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2019,5512,706.0,1379.7,2018.3,4104.0,1.19,8.614864218589684,8.31996102188653
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2020,4389,544.5,1425.4,1898.3,3868.2,1.19,8.387084506069217,8.260803046308391
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2021,4441,375.0,1810.0,2152.0,4337.0,1.2,8.398860004454372,8.37516869138682
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2022,6380,578.0,3315.3,,3893.3,1.11,8.761080103868347,8.267269224567059
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2023,9420,697.0,5094.0,,5791.0,1.11,9.150696519048667,8.664232934065552
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2024,8953,1386.0,8266.0,,9652.0,1.12,9.09985563880091,9.175024026848615
Жетісу,Жетісу,jetisu,Jetisu,Жетісу,2022,5085,428.0,3101.8,,3529.8,4.22,8.534246945982064,8.169279753146078
Жетісу,Жетісу,jetisu,Jetisu,Жетісу,2023,5761,440.0,4283.0,,4723.0,3.71,8.659039915644474,8.460411177317253
Жетісу,Жетісу,jetisu,Jetisu,Жетісу,2024,5764,1430.0,4476.0,,5906.0,3.79,8.65956043270316,8.683893367307235
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2015,579,11.8,258.2,397.7,667.7,6.15,6.363028103540465,6.505335529059932
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2016,680,177.4,545.6,647.4,1370.4,6.17,6.523562306149512,7.223587394850264
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2017,922,98.6,357.7,1142.0,1598.3,6.18,6.827629234502852,7.377321312496825
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2018,1222,244.3,437.8,1249.7,1931.8,6.19,7.109062135687172,7.566725007740495
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2019,1607,476.0,1142.0,1595.5,3213.5,6.2,7.382746449738911,8.075427103581742
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2020,1851,519.4,873.9,1875.2,3268.5,6.22,7.524021415206125,8.092392347001331
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2021,1951,914.0,580.0,949.0,2443.0,6.3,7.576609766973037,7.801391320291486
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2022,2131,1705.0,2513.9,,4218.9,6.15,7.664815785285735,8.347566710066822
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2023,2629,1211.0,2548.0,,3759.0,6.16,7.87473912517181,8.23217423638394
Западно_Казахстанская,Западно Казахстанская,west_kazakhstan,West Kazakhstan,Западно-Казахстанская,2024,2559,1871.0,1920.0,,3791.0,6.14,7.847762537473608,8.240648863374911
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2015,901,73.3,558.0,595.4,1226.7,4.15,6.804614520062623,7.112897779186794
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2016,1044,72.2,298.6,394.5,765.3,4.16,6.951772164398911,6.641573737976358
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2017,1395,244.9,379.0,1587.0,2210.9,4.08,7.241366283322318,7.701607153663715
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2018,1720,159.6,666.9,1773.3,2599.8,4.12,7.450660796211539,7.863574368989696
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2019,2491,345.0,649.0,2186.0,3180.0,4.15,7.820840879907344,8.064950891749143
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2020,2857,528.6,1158.7,941.0,2628.3,0.62,7.957877358489813,7.874472930049214
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2021,3123,663.0,3068.0,1994.0,5725.0,0.65,8.046869510959576,8.65277248565806
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2022,2430,217.0,4080.6,,4297.6,0.69,7.796057974316123,8.366044667273176
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2023,2852,477.0,3603.0,,4080.0,0.69,7.956126351213499,8.314097335405805
Карагандинская,Карагандинская,karaganda,Karaganda,Карагандинская,2024,2483,1256.0,3347.0,,4603.0,0.58,7.817625443053369,8.434680769841773
Костанайская,Костанайская,kostanay,Kostanay,Костанайская,2015,948,418.2,1127.0,423.9,1969.1,12.1,6.855408798609927,7.585839581865036
