region_id,log_women_farms_mean,log_women_farms_std,log_women_farms_min,log_women_farms_max,log_credit_total_mean,log_credit_total_std,log_credit_total_min,log_credit_total_max,land_share_mean,n_years,women_farms_trend
Shymkent,7.088250301053613,0.5619916210600665,6.432940092739179,7.778630147325809,6.663909022987841,1.9182407305828562,4.127134385045092,9.290259995152056,,7,0.25139051453762024
Turkestan_region,9.682843148891589,0.15370396958339516,9.497172082973124,9.93071353878972,8.784339869759055,0.5002551172946581,7.955670586660586,9.48044384215367,1.7939999999999998,10,0.04875689910553255
Абай,7.871353608422647,0.06996771357629739,7.790696031174738,7.915713199382115,8.238007787297915,0.19304612270459068,8.020336216877642,8.388450315523512,1.68,3,0.06250858410368147
Акмолинская,7.069701795210254,0.4668653387361129,6.335054251498058,7.528331766707247,8.72140475935571,0.662921326609886,7.749667232807194,9.646528652727188,2.7640000000000002,10,0.1435207576169539
Актюбинская,7.275508967654005,0.6207671531870512,6.257667587882638,7.913886714856082,7.949163701382841,0.631086824624897,6.923825459159631,9.253361546526378,0.7150000000000001,10,0.19815755415629763
Алматинская,9.309927200296944,0.24590011720387497,8.97335141383992,9.8233073354086,8.446409408112576,0.7938281883736215,6.935953933340816,9.854712138257916,3.436,10,-0.03451302622729873
Атырауская,6.542726117419241,0.3875162976766725,5.976350909297934,7.032624261028007,7.198608428046955,0.32449683534565615,6.699869730056908,7.708814716736478,1.315,10,0.12564002575319888
Восточно_Казахстанская,8.057329364040964,0.24309181129299107,7.737616282857904,8.474911799159631,7.866423110063609,0.46151259782652676,6.978493293487478,8.468423027046807,3.9019999999999997,10,-0.01841707983378235
Жамбылская,8.506555960444677,0.38817630519433527,8.089789175789319,9.150696519048669,8.122351983371779,0.6301417477612373,6.83249279448159,9.175024026848616,1.1640000000000001,10,0.11733361960052661
Жетісу,8.617615764776566,0.07219998403666636,8.534246945982064,8.65956043270316,8.43786143259019,0.25804681980300276,8.169279753146078,8.683893367307235,3.9066666666666663,3,0.06265674336054093
Западно_Казахстанская,7.2693976859729235,0.5403705691807026,6.363028103540465,7.87473912517181,7.746256982484775,0.5825928216327676,6.505335529059932,8.347566710066822,6.186,10,0.17303453485935805
Карагандинская,7.584381128193511,0.446029774301787,6.804614520062623,8.046869510959576,7.902667211979373,0.624754758526169,6.641573737976358,8.65277248565806,2.3890000000000002,10,0.12634362843887614
Костанайская,7.356459501035682,0.34998744401870896,6.855408798609927,8.035278911144667,8.414031019970263,0.8165112977702075,7.049775539002566,9.650657690851558,1.48,10,0.07723436086568042
Кызылординская,7.466569474029738,0.951805461661828,5.986452005284438,8.397057390176256,7.522374322096212,0.42144423364804745,6.893250592779255,8.153925132007862,0.231,10,0.28147772590599496
Мангистауская,6.339497862139391,0.5850087082238177,5.41164605185504,7.063903961472068,6.6623016436190365,0.5509157850619559,5.46721590300985,7.254177846456518,0.132,10,0.18938607626077505
Павлодарская,6.700958971703082,0.4485712282770378,6.265301212737709,7.269616749608169,7.970677477516025,0.7698092187169747,6.846305316665914,8.925228327504815,0.225,10,0.1174366615263965
Северо_Казахстанская,6.859049297591814,0.4118956623180259,6.228511003591183,7.431299675155902,8.145713991646677,0.6059018478871903,6.977467891393437,8.818482267274234,2.1,10,0.11001346547112818
г._Алматы,5.898199949986326,0.9230253323372264,4.330733340286331,7.287560640309724,6.023299282929488,2.034675462535521,2.174751721484161,7.864419904994565,,10,0.2876348579100706
г._Астана,4.960777106433409,1.3309247370618549,2.70805020110221,6.687108607866514,6.901052147227976,2.2684892081986736,3.858622228701031,11.19903630034927,,9,0.47067783812859804
Ұлытау,6.917503090986799,0.06800125762591268,6.839476438228842,6.964135612418245,6.315467080753822,0.694376797776722,5.52226059803281,6.813444599510896,1.4266666666666665,3,0.054710392042229924
