cluster,n_regions,regions
0,15,"Turkestan_region, Абай, Акмолинская, Актюбинская, Алматинская, Атырауская, Восточно_Казахстанская, Жамбылская, Жетісу, Западно_Казахстанская, Карагандинская, Костанайская, Павлодарская, Северо_Казахстанская, Ұлытау"
1,5,"Shymkent, Кызылординская, Мангистауская, г._Алматы, г._Астана"
