spec,n_obs,cv_r2_mean,feature,importance,importance_pct
A_with_credit_fund,75,-1.118943107732753,log_credit_total,0.14557255315407283,14.56
A_with_credit_fund,75,-1.118943107732753,log_credit_kaf,0.08193671899370444,8.19
A_with_credit_fund,75,-1.118943107732753,log_credit_acc,0.10230146850467157,10.23
A_with_credit_fund,75,-1.118943107732753,log_credit_fund,0.44761763585187325,44.76
A_with_credit_fund,75,-1.118943107732753,land_share,0.08839493897233765,8.84
A_with_credit_fund,75,-1.118943107732753,year,0.03199420684649426,3.2
A_with_credit_fund,75,-1.118943107732753,lag1_log_credit_total,0.10218247767684609,10.22
B_without_credit_fund,122,-2.1837745525717183,log_credit_total,0.334241324218242,33.42
B_without_credit_fund,122,-2.1837745525717183,log_credit_kaf,0.1517293865254002,15.17
B_without_credit_fund,122,-2.1837745525717183,log_credit_acc,0.14905030201004718,14.91
B_without_credit_fund,122,-2.1837745525717183,land_share,0.19374597589005763,19.37
B_without_credit_fund,122,-2.1837745525717183,year,0.05052166294138135,5.05
B_without_credit_fund,122,-2.1837745525717183,lag1_log_credit_total,0.12071134841487174,12.07
