spec,variable,coefficient,std_error,t_stat,p_value,N,n_regions,within_r2
B8_contemp_plus_lag1,log_credit_total,0.07191441970864983,0.10176205777668516,0.7066918778948497,0.4813383169886849,132,17,0.07213122700607622
B8_contemp_plus_lag1,lag1_log_credit_total,0.010154024427360983,0.06050016393196792,0.16783465973380043,0.8670392942618921,132,17,0.07213122700607622
B8_contemp_plus_lag1,land_share,0.03691001863489954,0.05327247546271016,0.6928534541394821,0.4899458254452571,132,17,0.07213122700607622
B8_contemp_plus_lag1_lag2,log_credit_total,0.030752682443090953,0.11010620334983373,0.2793001802576221,0.780677361768777,115,17,-0.10963957971988325
B8_contemp_plus_lag1_lag2,lag1_log_credit_total,0.029278132867639646,0.07004253218012899,0.41800506001617443,0.676973350216731,115,17,-0.10963957971988325
B8_contemp_plus_lag1_lag2,lag2_log_credit_total,-0.11690447275130612,0.11101667353750698,-1.0530352696238008,0.2952407321204542,115,17,-0.10963957971988325
B8_contemp_plus_lag1_lag2,land_share,0.027060002167256465,0.06332543225171808,0.4273165015233244,0.6702045694885768,115,17,-0.10963957971988325
