spec,variable,coefficient,std_error,t_stat,p_value,N,n_regions,within_r2
"Baseline (17 regions, credit+land)",log_credit_total,0.04434440963143444,0.08337810014907393,0.5318472063065708,0.595806955192818,149,17.0,0.030241046866911425
"Baseline (17 regions, credit+land)",land_share,0.018109897956204678,0.028854581985684562,0.627626418750042,0.5314313605809822,149,17.0,0.030241046866911425
"B17a/c: No land_share, cities included (20 regions)",log_credit_total,0.11770431588813302,0.05003879077296176,2.3522613970067003,0.020052625932930557,170,20.0,0.18278949943698097
"B17c: No land_share, cities excluded (17 regions)",log_credit_total,0.04239162439559676,0.08199802861097016,0.5169834581843272,0.6061036849581076,149,17.0,0.0603590284349701
B17b: Excl. 2022 new regions (14 regions),log_credit_total,0.04710134554755449,0.08610939605718056,0.546994261999899,0.5854425520064495,140,14.0,0.03150305295731981
B17b: Excl. 2022 new regions (14 regions),land_share,0.019311407810679346,0.0299993728721971,0.6437270503270028,0.5210341586219145,140,14.0,0.03150305295731981
B17d: TWFE with TWFE_KAF,log_credit_kaf,0.0030666281614127,0.0365156376814982,0.0839812298544789,0.933325567663356,88,,
B17d: TWFE with TWFE_ACC,log_credit_acc,-0.0473496114414076,0.0483786521839349,-0.9787294458180664,0.3312876861447194,88,,
B17d: TWFE with TWFE_FUND,log_credit_fund,-0.0073161763033483,0.064652805567724,-0.1131610026680839,0.910246416802584,88,,
