threshold_land_share_pct,coefficient,std_error,t_stat,p_value,within_r2,n_above
0.15,0.28047302007517794,0.1934270126775146,1.4500199129001086,0.1496401098425606,0.10992353828679591,129
0.47812500000000013,0.009989022484996099,0.1213624147729934,0.0823073807791351,0.9345382853766608,0.059333865479531456,98
0.8062500000000002,-0.013146263414647384,0.1064351099675213,-0.12351434990445324,0.9019047469586958,0.06480146855681601,84
1.1343750000000004,-0.0332646308967424,0.11123273045914708,-0.29905434092494604,0.7654116104292044,0.07466666395702237,76
1.4625000000000004,0.03625342526426347,0.097176996928065,0.37306591488004065,0.7097521311008339,0.043919796920523946,68
1.7906250000000004,-0.04247348651168086,0.10340002782632142,-0.4107686178094901,0.6819687259653113,0.07566799051712547,57
2.118750000000001,-0.054911526471150454,0.07834811057435784,-0.7008659949627704,0.48473225864718916,0.07353466235796291,52
2.446875000000001,-0.04403831774865094,0.08258673738655138,-0.5332371654606887,0.594847498738011,0.07158981656619157,50
2.775000000000001,0.002657021213878855,0.08180491098960618,0.032479971944672684,0.9741428038860136,0.05961178480140117,45
3.103125000000001,-0.02700401170545645,0.07657787754560151,-0.35263463249390503,0.7249758771409411,0.0684413046483845,44
3.431250000000001,0.15301662901509702,0.18461831857645966,0.8288269018749903,0.4088343312698468,0.008990184877154306,33
3.7593750000000012,0.15829774119861234,0.1793156551308479,0.8827881820084329,0.37910120895145627,0.006042188062595044,30
4.087500000000001,0.15985768761454036,0.1783449555472186,0.8963398326801368,0.37185110177199876,0.012820212186274715,28
4.415625000000002,0.23642775567451613,0.20578209992464855,1.1489228448980213,0.2528538826614739,-0.0033573170253271556,23
4.743750000000002,0.23642775567451613,0.20578209992464855,1.1489228448980213,0.2528538826614739,-0.0033573170253271556,23
5.071875000000002,0.18135630675172512,0.16592396696447945,1.0930085030485643,0.27656138043804734,0.030630053200297214,17
5.400000000000002,0.237829519599132,0.2907700465938418,0.8179299153579631,0.4150049786886194,0.01942097024656686,15
