region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total,lag1_log_women_farms,lag1_log_credit_total,log_credit_kaf,lag1_log_credit_kaf,log_credit_acc,lag1_log_credit_acc,log_credit_fund,lag1_log_credit_fund,year_fe
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2018,621,,,,,,6.432940092739179,,,,,,,,,,2018
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2019,667,,,138.8,138.8,,6.504288173536645,4.94021282979971,6.432940092739179,,,,,,4.94021282979971,,2019
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2020,1002,32.5,2226.2,314.0,2572.7,,6.910750787961935,7.853099831247029,6.504288173536645,4.94021282979971,3.5115454388310208,,7.7085004701401,,5.752572638825633,4.94021282979971,2020
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2021,923,79.0,,491.0,570.0,,6.828712071641684,6.34738920965601,6.910750787961935,7.853099831247029,4.382026634673881,3.5115454388310208,,7.7085004701401,6.198478716492308,5.752572638825633,2021
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2022,1641,61.0,,,61.0,,7.403670290012373,4.127134385045092,6.828712071641684,6.34738920965601,4.127134385045092,4.382026634673881,,,,6.198478716492308,2022
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2023,2341,,1677.0,,1677.0,,7.758760544157663,7.425357887027151,7.403670290012373,4.127134385045092,,4.127134385045092,7.425357887027151,,,,2023
Shymkent,Shymkent,shymkent,Shymkent,г. Шымкент,2024,2388,,10831.0,,10831.0,,7.778630147325809,9.290259995152056,7.758760544157663,7.425357887027151,,,9.290259995152056,7.425357887027151,,,2024
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2015,13321,149.4,617.3,2084.0,2850.7,0.88,9.497172082973124,7.955670586660586,,,5.0132984115157395,,6.426973776564523,,7.642524134232902,,2015
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2016,13550,68.4,5448.8,392.9,5910.099999999999,1.49,9.514215624322713,8.684587218292501,9.497172082973124,7.955670586660586,4.239886867512759,5.0132984115157395,8.603334189736223,6.426973776564523,5.97609706997686,7.642524134232902,2016
Turkestan_region,Turkestan region,turkestan,Turkestan,Туркестанская; Южно-Казахстанская,2017,14303,37.8,2589.6,1558.0,4185.4,1.61,9.568294497413294,8.339596455057997,9.514215624322713,8.684587218292501,3.6584202466292277,4.239886867512759,7.859644788096156,8.603334189736223,7.351799869057777,5.97609706997686,2017
