region_id,year,log_women_farms,lag1_log_women_farms,log_credit_total,lag1_log_credit_total
Shymkent,2018,6.432940092739179,,,
Shymkent,2019,6.504288173536645,6.432940092739179,4.94021282979971,
Shymkent,2020,6.910750787961935,6.504288173536645,7.853099831247029,4.94021282979971
Shymkent,2021,6.828712071641684,6.910750787961935,6.34738920965601,7.853099831247029
Shymkent,2022,7.403670290012373,6.828712071641684,4.127134385045092,6.34738920965601
Shymkent,2023,7.758760544157663,7.403670290012373,7.425357887027151,4.127134385045092
Shymkent,2024,7.778630147325809,7.758760544157663,9.290259995152056,7.425357887027151
Turkestan_region,2015,9.497172082973124,,7.955670586660586,
Turkestan_region,2016,9.514215624322713,9.497172082973124,8.684587218292501,7.955670586660586
Turkestan_region,2017,9.568294497413294,9.514215624322713,8.339596455057997,8.684587218292501
Turkestan_region,2018,9.61092693263324,9.568294497413294,8.576687763201877,8.339596455057997
Turkestan_region,2019,9.6582900916905,9.61092693263324,8.781355837825108,8.576687763201877
Turkestan_region,2020,9.655090293747248,9.6582900916905,8.318986125392058,8.781355837825108
Turkestan_region,2021,9.675833845744032,9.655090293747248,9.193601047971883,8.318986125392058
Turkestan_region,2022,9.801786997709788,9.675833845744032,9.275584893836584,9.193601047971883
Turkestan_region,2023,9.93071353878972,9.801786997709788,9.236884927198297,9.275584893836584
Turkestan_region,2024,9.91610758389223,9.93071353878972,9.48044384215367,9.236884927198297
Абай,2022,7.790696031174738,,8.020336216877642,
Абай,2023,7.907651594711089,7.790696031174738,8.305236829492591,8.020336216877642
Абай,2024,7.915713199382115,7.907651594711089,8.388450315523512,8.305236829492591
Акмолинская,2015,6.335054251498058,,8.131560121936442,
Акмолинская,2016,6.386879319362644,6.335054251498058,8.063314848091997,8.131560121936442
Акмолинская,2017,6.633318433280377,6.386879319362644,7.749667232807194,8.063314848091997
Акмолинская,2018,6.88653164253051,6.633318433280377,9.308963240581264,7.749667232807194
Акмолинская,2019,7.356918242356021,6.88653164253051,8.833389831766219,9.308963240581264
Акмолинская,2020,7.307202314764738,7.356918242356021,8.163513756457304,8.833389831766219
Акмолинская,2021,7.332369205929062,7.307202314764738,8.690474003558043,8.163513756457304
Акмолинская,2022,7.44716835960004,7.332369205929062,9.354354132115088,8.690474003558043
Акмолинская,2023,7.528331766707247,7.44716835960004,9.272281773516363,9.354354132115088
Акмолинская,2024,7.48324441607385,7.528331766707247,9.646528652727188,9.272281773516363
