fold,n_train,n_test,RMSE,MAE,R2,MSE
1,57,18,1.1027252678621657,0.8224031002525248,0.2622504225973801,1.216003016381685
2,59,16,1.148601078065481,0.9675717231522688,-2.260197795120127,1.3192844365331848
3,59,16,0.7968599932534425,0.712797309368375,-1.0865885058202758,0.6349858488478765
4,62,13,0.6258148731179328,0.5485446756757159,-0.29156745138776063,0.3916442554156143
5,63,12,1.0532428803165084,0.8976211811598347,-2.218612208932976,1.1093205649374147
