feature,importance,importance_pct
log_credit_fund,0.44761763585187325,44.76
log_credit_total,0.14557255315407283,14.56
log_credit_acc,0.10230146850467157,10.23
lag1_log_credit_total,0.10218247767684609,10.22
land_share,0.08839493897233765,8.84
log_credit_kaf,0.08193671899370444,8.19
year,0.03199420684649426,3.2
