model,r2,adj_r2,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,alpha,l1_ratio
OLS,0.9999708772925817,0.999796141048072,,,,,,,,
LinearRegression,,,1.0,0.5461336864961718,2.1527128976688038e-07,247395.6592309886,1.6088597476482391e-07,195252.45299566537,,
Ridge,,,0.9956284987689925,-2.763466161338793,111135.6215976902,712397.042765237,99507.039980596,675921.0206125164,1.0,
Lasso,,,0.9999819875451199,0.890484702813839,7133.85755577854,121524.96180746391,6077.498389707102,121126.78988534538,0.1,
ElasticNet,,,0.9939463863466727,-3.624128304012153,130781.20381543026,789665.2704868224,108706.99630184309,755077.2928187302,0.5,0.5
